code,name,est_sum_total_est
183117,آزادراه کرج - قزوين (ترمينال کلانتري),5439117
183101,آزادراه کرج - تهران (کيلومتر25),5283257
183151,آزادراه تهران - کرج (کيلومتر25),5149244
183152,آزادراه کرج - تهران (پل کلاک),4699412
183167,آزادراه قزوين - کرج (ترمينال کلانتري),4665655
183102,آزادراه تهران - کرج (پل کلاک),4632565
114501,آزادراه تهران - کرج (عوارضي قديم),4438752
183111,آزادراه کرج - قزوين (گلشهر),4431830
183161,آزادراه قزوين - کرج (گلشهر),4067573
114352,قرچک - ري,3915451
114551,آزادراه کرج - تهران (عوارضي قديم),3910681
113612.0,عوارضي آزادراه قم - تهران (بهشت زهرا)(مجموع گيت ها),3374429
183110,آزادراه کرج - قزوين (پل هشتگرد),2838612
183160,آزادراه قزوين - کرج (پل هشتگرد),2825253
114110.0,عوارضي آزادراه ساوه - تهران (تهران)(مجموع گيت ها),2614569
153110,آزادراه قزوين - کرج (عوارضي 2 قزوين),2584374
213278.0,بهارستان - اصفهان,2580090
113253,آزادراه قم - تهران (مجتمع ياس),2433255
113202,شهريار-کرج (هفت جوي),2415592
153160,آزادراه کرج - قزوين (عوارضي 2 قزوين),2397806
213228,اصفهان - بهارستان,2353289
113260,آزادراه قم - تهران (عوارضي تهران),2350832
263286,کنار گذر جنوبي شهيد کسايي (تبريز - باسمنج),2313094
113654,آزادراه قم - تهران (بين فرودگاه و حسن آباد),2214445
263160,ايلخچي - تبريز,2205790
113604,آزادراه تهران - قم (بين فرودگاه و حسن آباد),2187481
114160.0,عوارضي آزادراه تهران - ساوه (تهران)(مجموع گيت ها),2133844
263110,تبريز - ايلخچي,2129605
113252,کرج-شهريار (هفت جوي),2065517
313153,چناران - مشهد (تقاطع آزادراه - مشهد),2056880
414853,شيراز - مرودشت (شيراز - اکبرآباد),2055624
113258,آزادراه تهران - ساوه (تهران-رباط کريم),2021449
313103,مشهد - چناران (مشهد - تقاطع آزادراه),2010370
414803,مرودشت - شيراز (اکبرآباد - شيراز),1990243
143183,آزادراه تهران - قم (علي‌آباد),1967547
183171,آزادراه قزوين - کرج (نظرآباد),1958207
143220.0,آزادراه تهران - قم (مجموع گيت هاي عوارضي قم),1949118
113257,آزادراه پرديس - تهران (بومهن),1944949
213163,آزادراه زرين شهر - اصفهان(فلاورجان),1943989
163102,ساري - قائمشهر,1941727
113813,تهران - جاجرود (جنب سامانه توزين),1935787
153137,آزادراه قزوين - آبيک (بعد از عوارضي2),1927080
414854,شيراز - مرودشت (اکبرآباد - رکن‌آباد),1923868
263236,کنار گذر جنوبي شهيد کسايي (باسمنج - تبريز),1881756
114302,ري - قرچک,1877808
113701,جاده دسترسي احمدآباد مستوفي(آزادگان - اسلامشهر),1852387
113254,آزادراه ساوه - تهران (عوارضي تهران),1845789
153111,آزادراه قزوين - کرج (آبيک),1844865
113256,آزادراه پرديس - تهران (عوارضي پرديس),1840348
414804,مرودشت - شيراز (رکن‌آباد - اکبرآباد),1820425
163152.0,قائمشهر - ساري,1783812
143117,آزادراه تهران - قم (رستوران مهتاب),1779439
543401,لاهيجان - آستانه,1743105
113751,جاده دسترسي احمدآباد مستوفي(اسلامشهر - آزادگان),1736766
183121,آزادراه کرج - قزوين (نظرآباد),1736500
153122,آزادراه قزوين - زنجان (کنارگذر قزوين),1725386
143167,آزادراه قم - تهران (رستوران مهتاب),1718612
113303,آدران - شهريار,1705902
213113,آزادراه اصفهان - زرين شهر( فلاورجان),1685243
113863,جاجرود - تهران (جنب سامانه توزين),1684957
544552,لنگرود - لاهيجان,1684025
143107,آزادراه قم - تهران (نعلبندان),1679352
543451,آستانه - لاهيجان,1646079
143133,آزادراه قم - تهران (علي‌آباد),1639550
414805,مرودشت - شيراز (زرقان - رکن‌آباد),1622698
113208,آزادراه ساوه - تهران (رباط کريم-تهران),1616106
153187,آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2),1575465
153172,آزادراه زنجان - قزوين (کنارگذر قزوين),1567437
953164,ورودي بوشهر (چغادک بوشهر),1562156
543111,رشت - خمام,1558961
113207,آزادراه تهران - پرديس (بومهن),1547963
543161,خمام - رشت,1543913
113414,کمربندي جنوبي رودهن (پرديس - دماوند),1540063
543110,رشت - کوچصفهان,1532802
543160,کوچصفهان - رشت,1529895
153161,آزادراه کرج - قزوين (آبيک),1527076
813104,سه راهي چالان چولان - دورود,1501379
113210,آزادراه تهران - قم (عوارضي تهران),1490673
163251,آمل - بابل,1490476
113278.0,آزادراه ساوه - تهران(پرند),1478685
414855,شيراز - مرودشت (رکن‌آباد - زرقان),1477750
973155,علي آباد - گرگان,1473177
544502,لاهيجان - لنگرود,1470431
143123,کمربندي قم (قم - کاشان),1462133
114401,پاکدشت - شريف آباد,1447819
113464,کمربندي جنوبي رودهن (دماوند - پرديس),1447010
414807,مرودشت - شيراز (مرودشت - دو راهي لپويي),1439500
414857,شيراز - مرودشت (دو راهي لپويي - مرودشت),1436250
