code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
163105,ساري - جويبار,1401-12-10,1070,21790,21020,24678,23805,70,0.6787747357007319
163105,ساري - جويبار,1401-12-11,1440,23669,22776,23669,22776,69,0.40525887774464625
163105,ساري - جويبار,1401-12-12,1440,18971,18325,18971,18325,72,-0.8682569802114394
163105,ساري - جويبار,1401-12-13,1345,22010,21136,23816,22870,70,0.44510707508809977
163105,ساري - جويبار,1401-12-14,1435,19138,18125,19229,18211,70,-0.7983193277310925
163105,ساري - جويبار,1401-12-15,1440,22027,21075,22027,21075,70,-0.03984819734345351
163105,ساري - جويبار,1401-12-16,1440,24885,23869,24885,23869,67,0.7348875033884521
163105,ساري - جويبار,1401-12-17,1440,19335,18597,19335,18597,69,-0.7695852534562212
163105,ساري - جويبار,1401-12-18,1440,16767,16083,16767,16083,66,-1.4657088641908376
163105,ساري - جويبار,1401-12-19,1440,19351,18724,19351,18724,72,-0.76524803469775
163105,ساري - جويبار,1401-12-20,1405,22991,22104,23964,23039,71,0.4852263486039577
163105,ساري - جويبار,1401-12-21,1440,24286,23355,24286,23355,71,0.5725128761181892
163105,ساري - جويبار,1401-12-22,1440,24311,23314,24311,23314,69,0.5792897804283004
163105,ساري - جويبار,1401-12-23,1440,10439,9875,10439,9875,61,-3.18107888316617
163105,ساري - جويبار,1401-12-24,1440,21603,20679,21603,20679,67,-0.15478449444293846
163105,ساري - جويبار,1401-12-25,1440,24804,23759,24804,23759,68,0.712930333423692
163105,ساري - جويبار,1401-12-26,1440,22019,21214,22019,21214,72,-0.04201680672268908
163105,ساري - جويبار,1401-12-27,1440,25018,24137,25018,24137,70,0.7709406343182434
163105,ساري - جويبار,1401-12-28,830,10659,10251,23321,22428,70,0.31092436974789917
163105,ساري - جويبار,1402-01-01,40,3,3,6438,6438,42,-4.265654648956357
163105,ساري - جويبار,1402-01-02,65,2,2,21728,21728,34,-0.12089997289238276
163105,ساري - جويبار,1402-01-09,770,5859,5523,13368,12601,35,-2.3870967741935485
163105,ساري - جويبار,1402-01-10,865,6692,6396,10881,10399,29,-3.0612632149634047
163105,ساري - جويبار,1402-01-11,1440,9497,9078,9497,9078,29,-3.4364326375711576
163105,ساري - جويبار,1402-01-12,1440,8732,8231,8732,8231,30,-3.6438059094605584
163105,ساري - جويبار,1402-01-13,1440,7978,7667,7978,7667,30,-3.8481973434535104
163105,ساري - جويبار,1402-01-14,1440,11433,10707,11433,10707,30,-2.9116291677961508
163105,ساري - جويبار,1402-01-15,1440,11266,10511,11266,10511,29,-2.956898888587693
163105,ساري - جويبار,1402-01-16,970,7194,6786,11188,10553,31,-2.97804283003524
163105,ساري - جويبار,1402-01-17,1440,11498,10757,11498,10757,29,-2.8940092165898617
163105,ساري - جويبار,1402-01-18,1440,10130,9576,10130,9576,31,-3.2648414204391436
163105,ساري - جويبار,1402-01-19,1440,11721,10875,11721,10875,30,-2.8335592301436705
163105,ساري - جويبار,1402-01-20,1440,11321,10504,11321,10504,30,-2.9419896991054486
