code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-10,1435,10552,7786,10582,7808,74,-0.7849013657056145
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-11,1440,9940,7408,9940,7408,75,-0.9066767830045523
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-12,1440,15702,13043,15702,13043,77,0.18626707132018208
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-13,1440,11990,9164,11990,9164,73,-0.5178300455235205
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-14,1440,10653,7789,10653,7789,73,-0.7714339908952959
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-15,1440,11159,8209,11159,8209,71,-0.6754552352048558
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-16,1440,11880,8852,11880,8852,72,-0.5386949924127465
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-17,1440,10791,8003,10791,8003,72,-0.745257966616085
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-18,1440,10342,7989,10342,7989,75,-0.8304248861911988
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-19,1440,22165,19228,22165,19228,74,1.4121775417298938
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-20,1435,14127,11023,14176,11061,76,-0.10318664643399089
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-21,1440,11585,8439,11585,8439,71,-0.5946509863429439
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-22,1440,11711,8573,11711,8573,71,-0.5707511380880121
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-23,1440,11274,7970,11274,7970,72,-0.6536418816388467
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-24,1440,11931,8633,11931,8633,73,-0.52902124430956
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-25,1440,11853,8744,11853,8744,72,-0.5438163884673748
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-26,1440,14999,11821,14999,11821,72,0.05292109256449165
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-27,1440,13438,10443,13438,10443,75,-0.24317147192716237
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-28,1440,12153,10078,12153,10078,78,-0.4869119878603945
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1401-12-29,1440,10029,9132,10029,9132,84,-0.8897951441578149
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-01,1440,10095,9534,10095,9534,82,-0.8772761760242792
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-02,1440,12598,11670,12598,11670,78,-0.40250379362670713
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-03,1440,16206,15198,16206,15198,82,0.281866464339909
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-04,1440,25228,23755,25228,23755,78,1.9931714719271623
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-05,1440,27775,25675,27775,25675,74,2.476289833080425
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-06,1440,24339,22081,24339,22081,76,1.824544764795144
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-07,1440,20021,17929,20021,17929,76,1.0055007587253415
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-08,1440,17417,15349,17417,15349,77,0.5115705614567526
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-09,1440,17678,15538,17678,15538,79,0.5610773899848255
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-10,1440,19656,17810,19656,17810,80,0.936267071320182
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-11,1440,25205,23389,26112,24230,71,2.1608497723823974
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-12,1430,26835,25056,27131,25332,74,2.354135053110774
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-13,1440,25851,24569,25851,24569,84,2.1113429438543245
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-14,1440,24613,22445,24613,22445,81,1.8765174506828528
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-15,1440,14429,12213,14429,12213,79,-0.055197268588770866
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-16,1440,11123,8799,11123,8799,78,-0.6822837632776935
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-17,1440,11206,9211,11206,9211,80,-0.6665402124430956
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-18,1440,15498,13449,15498,13449,80,0.1475720789074355
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-19,1440,11029,8701,11029,8701,79,-0.700113808801214
164106,قائمشهر - فيروزکوه (پل سفيد - گرزين خيل),1402-01-20,1440,9156,6992,9156,6992,78,-1.0553869499241275
