code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
413109,دشت ارژن - قائميه,1401-12-10,1440,9925,8788,9925,8788,92,0.8939316675165732
413109,دشت ارژن - قائميه,1401-12-11,1440,10301,9214,10301,9214,93,1.085670576236614
413109,دشت ارژن - قائميه,1401-12-12,1435,8599,7530,8653,7577,93,0.24528301886792453
413109,دشت ارژن - قائميه,1401-12-13,1440,7770,6686,7770,6686,93,-0.20499745028046915
413109,دشت ارژن - قائميه,1401-12-14,1440,8156,6990,8156,6990,92,-0.00815910249872514
413109,دشت ارژن - قائميه,1401-12-15,1295,7468,6402,8649,7414,92,0.24324324324324326
413109,دشت ارژن - قائميه,1401-12-16,1440,11528,10384,11528,10384,93,1.7113717491075982
413109,دشت ارژن - قائميه,1401-12-17,1440,11641,10396,11641,10396,91,1.7689954105048444
413109,دشت ارژن - قائميه,1401-12-18,1440,9219,8330,9219,8330,92,0.5339112697603263
413109,دشت ارژن - قائميه,1401-12-19,1435,9267,8268,9287,8285,86,0.5685874553799082
413109,دشت ارژن - قائميه,1401-12-20,1440,7636,6643,7636,6643,92,-0.2733299337072922
413109,دشت ارژن - قائميه,1401-12-21,1440,8271,7220,8271,7220,92,0.0504844467108618
413109,دشت ارژن - قائميه,1401-12-22,1435,8695,7426,8731,7456,84,0.28505864354920957
413109,دشت ارژن - قائميه,1401-12-23,1440,8929,7828,8929,7828,92,0.38602753697093317
413109,دشت ارژن - قائميه,1401-12-24,1440,10398,9304,10398,9304,92,1.135135135135135
413109,دشت ارژن - قائميه,1401-12-25,1440,11701,10711,11701,10711,93,1.7995920448750637
413109,دشت ارژن - قائميه,1401-12-26,1175,7975,7114,9735,8683,91,0.7970423253442122
413109,دشت ارژن - قائميه,1401-12-27,1440,9693,8741,9693,8741,91,0.7756246812850587
413109,دشت ارژن - قائميه,1401-12-28,1440,11862,10985,11862,10985,92,1.8816930137684855
413109,دشت ارژن - قائميه,1401-12-29,1435,13191,12666,13213,12687,93,2.5706272310045897
413109,دشت ارژن - قائميه,1402-01-01,1435,12405,12116,12486,12195,90,2.199898011218766
413109,دشت ارژن - قائميه,1402-01-02,1440,13817,13377,13817,13377,85,2.8786333503314636
413109,دشت ارژن - قائميه,1402-01-03,1440,13790,13398,13790,13398,92,2.864864864864865
413109,دشت ارژن - قائميه,1402-01-04,1440,12889,12410,12889,12410,91,2.4054054054054053
413109,دشت ارژن - قائميه,1402-01-05,1430,12071,11472,12195,11589,91,2.0515043345232025
413109,دشت ارژن - قائميه,1402-01-06,1440,11922,11222,11922,11222,87,1.9122896481387048
413109,دشت ارژن - قائميه,1402-01-07,1440,11511,10767,11511,10767,87,1.7027027027027026
413109,دشت ارژن - قائميه,1402-01-08,1435,12357,11634,12404,11678,87,2.1580826109127997
413109,دشت ارژن - قائميه,1402-01-09,1440,12954,12195,12954,12195,90,2.4385517593064763
413109,دشت ارژن - قائميه,1402-01-10,1435,13468,12826,13476,12833,91,2.704742478327384
413109,دشت ارژن - قائميه,1402-01-11,1355,11499,11002,12669,12121,88,2.293217746047935
413109,دشت ارژن - قائميه,1402-01-12,1425,12105,11740,12331,11959,89,2.120856705762366
413109,دشت ارژن - قائميه,1402-01-13,1430,11462,11102,11529,11166,87,1.7118816930137686
413109,دشت ارژن - قائميه,1402-01-14,1440,7273,6630,7273,6630,92,-0.4584395716471188
413109,دشت ارژن - قائميه,1402-01-15,1440,7274,6403,7274,6403,92,-0.4579296277409485
413109,دشت ارژن - قائميه,1402-01-16,1435,7771,6818,7805,6847,91,-0.1871494135645079
413109,دشت ارژن - قائميه,1402-01-17,1440,8250,7276,8250,7276,92,0.03977562468128506
413109,دشت ارژن - قائميه,1402-01-18,1440,7757,6844,7757,6844,92,-0.21162672106068334
413109,دشت ارژن - قائميه,1402-01-19,1440,7049,5999,7049,5999,91,-0.5726670066292707
413109,دشت ارژن - قائميه,1402-01-20,1440,7049,6052,7049,6052,91,-0.5726670066292707
