code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-10,1440,3267,2829,3267,2829,80,-0.7723577235772358
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-11,1440,4027,3508,4027,3508,80,0.25745257452574527
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-12,1440,3011,2576,3011,2576,80,-1.119241192411924
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-13,1440,3169,2722,3169,2722,81,-0.9051490514905149
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-14,1440,3201,2754,3201,2754,80,-0.8617886178861789
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-15,1440,3415,2993,3415,2993,80,-0.5718157181571816
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-16,1440,3778,3277,3778,3277,80,-0.07994579945799458
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-17,1440,3226,2726,3226,2726,77,-0.8279132791327913
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-18,1440,3856,3458,3856,3458,80,0.025745257452574527
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-19,1440,2876,2505,2876,2505,80,-1.3021680216802167
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-20,1435,2818,2125,2830,2134,89,-1.3644986449864498
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-21,1440,2425,1594,2425,1594,98,-1.9132791327913279
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-22,1410,1981,1244,2006,1259,108,-2.4810298102981028
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-23,1425,806,548,2076,1411,115,-2.386178861788618
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-24,1435,1568,1059,2358,1592,110,-2.0040650406504064
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-25,1425,3166,2239,3190,2255,112,-0.8766937669376694
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-26,1405,2563,1772,2593,1792,112,-1.6856368563685638
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-27,1430,2837,2005,2844,2009,113,-1.3455284552845528
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-28,1425,4688,3858,4730,3892,96,1.2100271002710028
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1401-12-29,1440,6914,6577,6914,6577,82,4.169376693766938
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-01,1440,6247,6031,6247,6031,81,3.265582655826558
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-02,1440,4633,4462,4633,4462,78,1.0785907859078592
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-03,1300,4576,4452,4710,4582,82,1.1829268292682926
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-04,1440,4532,4330,4532,4330,83,0.9417344173441734
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-05,1440,4856,4596,4856,4596,82,1.380758807588076
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-06,1440,4942,4680,4942,4680,82,1.497289972899729
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-07,1440,4492,4220,4492,4220,80,0.8875338753387534
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-08,1400,4297,4024,4392,4112,80,0.7520325203252033
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-09,1440,4559,4239,4559,4239,82,0.978319783197832
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-10,1440,5254,4881,5254,4881,83,1.9200542005420054
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-11,1440,4232,3930,4232,3930,81,0.535230352303523
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-12,1440,4075,3864,4075,3864,83,0.3224932249322493
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-13,1440,4478,4297,4478,4297,79,0.8685636856368564
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-14,1440,3676,3437,3676,3437,82,-0.2181571815718157
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-15,1440,3702,3470,3702,3470,81,-0.18292682926829268
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-16,1440,3444,3113,3444,3113,82,-0.532520325203252
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-17,1440,4082,3696,4082,3696,82,0.3319783197831978
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-18,1440,2921,2562,2921,2562,81,-1.2411924119241193
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-19,1440,3171,2830,3171,2830,82,-0.9024390243902439
314303,سبزوار - قوچان (سبزوار - سلطان‌آباد),1402-01-20,1440,3072,2687,3072,2687,80,-1.0365853658536586
