code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
113424,رودهن - آبعلي,1401-12-10,1440,10063,9204,10063,9204,64,-0.24619330020836672
113424,رودهن - آبعلي,1401-12-11,1440,9355,8751,9355,8751,65,-0.35967302452316074
113424,رودهن - آبعلي,1401-12-12,1440,7056,6668,7056,6668,66,-0.7281615643532617
113424,رودهن - آبعلي,1401-12-13,1440,6831,6182,6831,6182,61,-0.7642250360634717
113424,رودهن - آبعلي,1401-12-14,1440,7445,6680,7445,6680,61,-0.6658118288187209
113424,رودهن - آبعلي,1401-12-15,1440,9385,8430,9385,8430,62,-0.3548645616284661
113424,رودهن - آبعلي,1401-12-16,1440,10776,10074,10776,10074,61,-0.13191216541112358
113424,رودهن - آبعلي,1401-12-17,1440,11416,10746,11416,10746,64,-0.029331623657637442
113424,رودهن - آبعلي,1401-12-18,1440,6863,6356,7416,6868,62,-0.6704600096169258
113424,رودهن - آبعلي,1401-12-19,1440,5743,5349,5743,5349,63,-0.9386119570443981
113424,رودهن - آبعلي,1401-12-20,1440,7059,6315,7059,6315,62,-0.7276807180637923
113424,رودهن - آبعلي,1401-12-21,1440,7884,6897,7884,6897,60,-0.595447988459689
113424,رودهن - آبعلي,1401-12-22,1440,8206,7217,8206,7217,60,-0.5438371533899663
113424,رودهن - آبعلي,1401-12-23,1440,8351,7405,8351,7405,61,-0.5205962493989421
113424,رودهن - آبعلي,1401-12-24,1440,9476,8602,9476,8602,62,-0.3402788908478923
113424,رودهن - آبعلي,1401-12-25,1440,10179,9449,10179,9449,62,-0.22760057701554737
113424,رودهن - آبعلي,1401-12-26,1440,10301,9713,10301,9713,65,-0.20804616124378908
113424,رودهن - آبعلي,1401-12-27,1440,12464,11785,11284,10669,61,-0.050488860394293955
113424,رودهن - آبعلي,1401-12-28,1430,14748,14057,14877,14179,65,0.5254047122936368
113424,رودهن - آبعلي,1401-12-29,1440,15754,15294,15754,15294,67,0.6659721109152108
113424,رودهن - آبعلي,1402-01-01,1440,14015,13762,14015,13762,64,0.38724154511941017
113424,رودهن - آبعلي,1402-01-02,1440,13265,12946,13265,12946,65,0.2670299727520436
113424,رودهن - آبعلي,1402-01-03,1440,15116,14636,15116,14636,68,0.5637121333547043
113424,رودهن - آبعلي,1402-01-04,1440,10870,10487,10870,10487,67,-0.1168456483410803
113424,رودهن - آبعلي,1402-01-05,1440,13765,13262,14158,13640,66,0.4101618849174547
113424,رودهن - آبعلي,1402-01-06,1440,13200,12710,13200,12710,67,0.2566116364802052
113424,رودهن - آبعلي,1402-01-07,1440,11778,11343,11778,11343,63,0.028690495271678152
113424,رودهن - آبعلي,1402-01-08,1440,12719,12216,12719,12216,65,0.17951594806860074
113424,رودهن - آبعلي,1402-01-09,1440,12159,11668,12159,11668,67,0.08975797403430037
113424,رودهن - آبعلي,1402-01-10,1440,9876,9523,9876,9523,66,-0.27616605225196345
113424,رودهن - آبعلي,1402-01-11,1440,7951,7703,7951,7703,65,-0.584709087994871
113424,رودهن - آبعلي,1402-01-12,1440,5202,5021,5202,5021,65,-1.0253245712453918
113424,رودهن - آبعلي,1402-01-13,1440,3781,3672,3781,3672,62,-1.253085430357429
113424,رودهن - آبعلي,1402-01-14,1440,3968,3742,3968,3742,63,-1.2231126783138324
113424,رودهن - آبعلي,1402-01-15,1440,5755,5222,5755,5222,61,-0.9366885718865203
113424,رودهن - آبعلي,1402-01-16,1440,7153,6545,7153,6545,63,-0.712614200993749
113424,رودهن - آبعلي,1402-01-17,1440,6915,6421,6915,6421,64,-0.7507613399583266
113424,رودهن - آبعلي,1402-01-18,1440,5488,5184,5488,5184,64,-0.9794838916493027
113424,رودهن - آبعلي,1402-01-19,1440,5834,5219,5834,5219,61,-0.9240262862638243
113424,رودهن - آبعلي,1402-01-20,420,803,659,6318,5185,59,-0.8464497515627505
