code,name,est_sum_total_est
183151,آزادراه تهران - کرج (کيلومتر25),2854091
183101,آزادراه کرج - تهران (کيلومتر25),2730541
183117,آزادراه کرج - قزوين (ترمينال کلانتري),2619034
183167,آزادراه قزوين - کرج (ترمينال کلانتري),2522770
183102,آزادراه تهران - کرج (پل کلاک),2404654
183152,آزادراه کرج - تهران (پل کلاک),2341939
114501,آزادراه تهران - کرج (عوارضي قديم),2221860
114551,آزادراه کرج - تهران (عوارضي قديم),2185478
183111.0,آزادراه کرج - قزوين (گلشهر),2179816
183161.0,آزادراه قزوين - کرج (گلشهر),1894815
113612,عوارضي آزادراه قم - تهران (بهشت زهرا)(مجموع گيت ها),1648880
153160,آزادراه کرج - قزوين (عوارضي 2 قزوين),1587491
113260,آزادراه قم - تهران (عوارضي تهران),1575220
153110,آزادراه قزوين - کرج (عوارضي 2 قزوين),1574634
113203,آزادراه تهران - قم (مجتمع ياس),1554726
183160,آزادراه قزوين - کرج (پل هشتگرد),1533801
113253,آزادراه قم - تهران (مجتمع ياس),1436853
113210,آزادراه تهران - قم (عوارضي تهران),1411981
183110,آزادراه کرج - قزوين (پل هشتگرد),1392073
113259,پاکدشت - تهران,1360245
113209,تهران - پاکدشت,1202716
114110,عوارضي آزادراه ساوه - تهران (تهران)(مجموع گيت ها),1196626
113604,آزادراه تهران - قم (بين فرودگاه و حسن آباد),1188205
113654,آزادراه قم - تهران (بين فرودگاه و حسن آباد),1167496
213228,اصفهان - بهارستان,1163465
113954,شهريار - تهران (شهر قدس),1145416
143220,آزادراه تهران - قم (مجموع گيت هاي عوارضي قم),1136577
114160,عوارضي آزادراه تهران - ساوه (تهران)(مجموع گيت ها),1123051
153122,آزادراه قزوين - زنجان (کنارگذر قزوين),1113204
153161,آزادراه کرج - قزوين (آبيک),1106713
113904,تهران - شهريار (شهر قدس),1103147
113202,شهريار-کرج (هفت جوي),1087651
153111,آزادراه قزوين - کرج (آبيک),1080672
313103,مشهد - چناران (مشهد - تقاطع آزادراه),1067542
183121,آزادراه کرج - قزوين (نظرآباد),1061503
183171,آزادراه قزوين - کرج (نظرآباد),1057494
143183,آزادراه تهران - قم (علي‌آباد),1049895
113813,تهران - جاجرود (متناظر توزين),1049682
213113,آزادراه اصفهان - زرين شهر( فلاورجان),1042632
113258,آزادراه تهران - ساوه (تهران-رباط کريم),1038159
313153,چناران - مشهد (تقاطع آزادراه - مشهد),1026981
153172,آزادراه زنجان - قزوين (کنارگذر قزوين),1017207
163152.0,قائمشهر - ساري,1003480
153187,آزادراه کنارگذر قزوين - زنجان (بعد از عوارضي 2),996462
263236,کنار گذر جنوبي شهيد کسايي (باسمنج - تبريز),995778
143133,آزادراه قم - تهران (علي‌آباد),991431
414853,شيراز - مرودشت (شيراز - اکبرآباد),983781
163102.0,ساري - قائمشهر,979934
143167,آزادراه قم - تهران (رستوران مهتاب),976380
543401,لاهيجان - آستانه,950761
143157,آزادراه تهران - قم (نعلبندان),937005
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),930449
263286,کنار گذر جنوبي شهيد کسايي (تبريز - باسمنج),923761
113208,آزادراه ساوه - تهران (رباط کريم-تهران),923423
544502,لاهيجان - لنگرود,918169
414854,شيراز - مرودشت (اکبرآباد - رکن‌آباد),916506
113252,کرج-شهريار (هفت جوي),914111
113257,آزادراه پرديس - تهران (بومهن),910784
113256,آزادراه پرديس - تهران (عوارضي پرديس),909635
263160,ايلخچي - تبريز,908478
543101,امامزاده هاشم - تقاطع سراوان,878776
114302,ري - قرچک,872022
143117,آزادراه تهران - قم (رستوران مهتاب),867215
153137,آزادراه قزوين - آبيک (بعد از عوارضي2),864924
543451,آستانه - لاهيجان,863465
113751,جاده دسترسي احمدآباد مستوفي(اسلامشهر - آزادگان),859400
113414,کمربندي جنوبي رودهن (پرديس - دماوند),857770
543556,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),856025
113206,آزادراه تهران - پرديس (عوارضي پرديس),853945
143123,کمربندي قم (قم - کاشان),852096
143107,آزادراه قم - تهران (نعلبندان),847948
263110,تبريز - ايلخچي,847469
953114,خروجي بوشهر (بوشهر - چغادک),846480
953164,ورودي بوشهر (چغادک بوشهر),845139
114352,قرچک - ري,825331
543160,کوچصفهان - رشت,819796
163352,قائمشهر - بابل,801167
543230,آزادراه رشت - قزوين (امامزاده هاشم),797026
543280,آزادراه قزوين - رشت (امامزاده هاشم) (متناظر توزين),791161
543505,رودبار - منجيل,790178
973155,علي آباد - گرگان,786787
113701,جاده دسترسي احمدآباد مستوفي(آزادگان - اسلامشهر),781892
143174,کمربندي قم (اراک - قم),781285
113278,آزادراه ساوه - تهران (پرند),778983
163205,آمل - محمودآباد,777601
414855.0,شيراز - مرودشت (رکن‌آباد - زرقان),777538
113207,آزادراه تهران - پرديس (بومهن),774230
163255,محمودآباد - آمل,768491
414803,مرودشت - شيراز (اکبرآباد - شيراز),757911
543301,خمام - انزلي,749334
753252,سه‌راهي بهار - همدان (مهدي‌آباد),744631
