code,name,est_sum_total_est
163103,ساري - نکا,475746
313196,آزادراه باغچه - مشهد (باغچه),474056
163860.0,کلارآباد - چالوس,468274
753252,سه‌راهي بهار - همدان (مهدي‌آباد),467230
313146,آزادراه مشهد - باغچه (باغچه),464573
113208,آزادراه ساوه - تهران (رباط کريم-تهران),464044
113303,آدران - شهريار,461409
113453,دماوند - رودهن,459979
513605,آزادراه تهران - ساوه (سرزمين ايرانيان),459377
163255,محمودآباد - آمل,456710
163751,نور - محمودآباد,456476
163801.0,"0     تنکابن - رامسر
1     تنکابن - رامسر
2     تنکابن - رامسر
3     تنکابن - رامسر
4     تنکابن - رامسر
5     تنکابن - رامسر
6     تنکابن - رامسر
7     تنکابن - رامسر
8     تنکابن - رامسر
9     تنکابن - رامسر
10    تنکابن - رامسر
11    تنکابن - رامسر
12    تنکابن - رامسر
13    تنکابن - رامسر
14    تنکابن - رامسر
15    تنکابن - رامسر
16    تنکابن - رامسر
17    تنکابن - رامسر
18    تنکابن - رامسر
19    تنکابن - رامسر
20    تنکابن - رامسر
21    تنکابن - رامسر
22    تنکابن - رامسر
23    تنکابن - رامسر
24    تنکابن - رامسر
25    تنکابن - رامسر
26    تنکابن - رامسر
27    تنکابن - رامسر
28    تنکابن - رامسر
29    تنکابن - رامسر
30    تنکابن - رامسر
31    تنکابن - رامسر
32    تنکابن - رامسر
33    تنکابن - رامسر
34    تنکابن - رامسر
35    تنکابن - رامسر
36    تنکابن - رامسر
37    تنکابن - رامسر
38    تنکابن - رامسر
Name: name, dtype: object",456211
153185,آزادراه قزوين - زنجان (قبل از عوارضي3),455613
164452,نوشهر - نور (سي سنگان - نور),455144
973152,کردکوي - گرگان,454650
143158,آزادراه کاشان - قم (مشکات - تقاطع جاده قديم),453545
543404,کوچصفهان - آستانه,450928
153106,آزادراه قزوين - رشت (محمودآباد - کوهين),450774
113419.0,دماوند - فيروزکوه (دماوند - آبسرد),449850
513105,اراک - شازند,449723
543602.0,رودسر - کلاچاي,448992
113953,شهريار - تهران (باغستان),448352
113228,آزادراه تهران - ساوه (پرند),447545
163153,نکا - ساري,445843
973358,علي آباد - گرگان (متناظر سامانه توزين),443377
543652,کلاچاي - رودسر,443300
543104,رشت - فومن,439184
163351,بابلسر - بابل,438748
163802,عباس آباد - تنکابن,437827
313111,مشهد - شانديز,437642
163852,تنکابن - عباس آباد,434040
164501,کمربندي نوشهر - چالوس,431865
543154,فومن - رشت,431536
213102,اصفهان - زرين‌شهر (فولادشهر),430591
215253,شهرضا - اصفهان (سه‌راهي مبارکه),430424
143108,آزادراه قم - کاشان (تقاطع جاده قديم - مشکات),428113
113469,فيروزکوه - دماوند (آبسرد - دماوند),426950
143157,آزادراه تهران - قم (نعلبندان),420985
513655,آزادراه ساوه - تهران (سرزمين ايرانيان),420690
143123,کمربندي قم (قم - کاشان),420110
713151.0,بيستون - کرمانشاه,419541
114153,شهريار - رباط کريم,418727
313902,مشهد - چناران (گلبهار - چناران),416486
543280,آزادراه قزوين - رشت (امامزاده هاشم),415392
973308,گرگان - علي آباد (متناظر سامانه توزين),413554
543555,منجيل - رودبار,413161
164751,بهشهر - نکا,413141
163901,رامسر - چابکسر,410225
164551,کمربندي چالوس - نوشهر,406488
214202,آزادراه کاشان - قم (کاشان - مشکات),402137
114401,پاکدشت - شريف آباد,402025
153135,آزادراه کنارگذر زنجان - قزوين (بعد از عوارضي 3),401109
263101,تبريز - صوفيان,397847
153105,آزادراه قزوين - رشت (قزوين - محمودآباد),397367
215203,اصفهان - شهرضا (سه‌راهي مبارکه),393566
313223,نيشابور - مشهد (نيشابور),392844
543230,آزادراه رشت - قزوين (امامزاده هاشم),392740
543904,اسالم - تالش,391763
513264,اراک - سلفچگان (احمدآباد),391054
953101,بوشهر - چغادک (چغادک),389058
143124,کمربندي قم (قم - اراک),388346
153104,آزادراه قزوين - زنجان (تاکستان - مرز استان),387510
513153,بروجرد - اراک,386192
163951,چابکسر - رامسر,383910
413104,شيراز - کازرون (شيراز - خان زنيان),383351
214252.0,آزادراه قم - کاشان (مشکات - کاشان),382777
363803,خرمشهر - آبادان,382195
263151,صوفيان - تبريز,381849
413172,کمربندي پل فسا شيراز (جنوب - شمال),381281
713101,کرمانشاه - بيستون,375609
113206,آزادراه تهران - پرديس (عوارضي پرديس),374121
313161,شانديز - مشهد,373331
413102,شيراز - سپيدان (شيراز - سه‌راهي قلات),373099
313952,چناران - مشهد (چناران - گلبهار),372174
143118,قم - سلفچگان,371853
513214,سلفچگان - اراک (احمدآباد),371438
163104,خزرآباد - ساري,370558
213152,زرين‌شهر - اصفهان (فولادشهر),368907
164151,فيروزکوه - قائمشهر (شيرگاه - قائمشهر),367979
513653,آزادراه ساوه - تهران (مامونيه),366418
113909,ملارد - صفادشت,364837
413122,کمربندي پل فسا شيراز (شمال - جنوب),364114
513603,آزادراه تهران - ساوه (مامونيه),363927
753102,سه‌راهي صالح‌آباد - همدان,362840
363853,آبادان - خرمشهر,361613
143173,کمربندي قم (کاشان - قم),361493
413154,کازرون - شيراز (خان زنيان - شيراز),360709
113352,آزادراه تهران، قم - اسلامشهر,360347
