,code,name_x,est_sum_total_est_x,est_sum_total_est_y,growth_rate
980,573502.0,خوي - سلماس,114252,71304.0,60.232245035341634
51,143157.0,آزادراه تهران - قم (نعلبندان),668726,420985.0,58.84793995035452
273,163451.0,محمودآباد - فريدونکنار,301219,190488.0,58.13017092940238
1337,364353.0,هويزه - سوسنگرد,71927,45705.0,57.372278744119896
1282,214561.0,آزادراه نجف‌آباد - زرين‌شهر,77609,49371.0,57.19551963703389
2057,643653.0,فارياب - زيارتعلي,32351,20597.0,57.06656309171238
1646,973501.0,آزادشهر - شاهرود (آزادشهر - خوش ييلاق),52429,33634.0,55.88095379675329
1777,313170.0,جاده قديم چناران - مشهد,44544,28580.0,55.85724282715185
366,643159.0,حاجي‌آباد - بندرعباس (سرچاهان - سه‌راهي فين),257649,166057.0,55.15696417495197
1501,833356.0,بدره - سه راهي ملکشاهي,60611,39100.0,55.015345268542205
781,733102.0,سنندج - دهگلان,143337,92529.0,54.91035243004896
2174,313601.0,تايباد - پايانه مرزي دوغارون,27844,18207.0,52.93019168451695
976,213968.0,دهاقان(گلشن)- شهرضا,114649,75496.0,51.86102574970859
230,113353.0,شهريار - آدران,336803,223042.0,51.004295155172564
1663,713254.0,سرابله - سه راهي حميل,51041,33891.0,50.603405033784775
200,114451.0,شريف آباد - پاکدشت,374029,248553.0,50.48259324972943
1313,213202.0,اردستان - نايين (سه‌راهي اردستان),74894,49903.0,50.07915355790233
157,164401.0,نور - نوشهر (سی سنگان - نوشهر),421980,281718.0,49.78808595829872
72,543230.0,آزادراه رشت - قزوين (امامزاده هاشم),586393,392740.0,49.30819371594439
182,543310.0,بندرانزلي - حسن رود,390877,264046.0,48.03367595040258
1678,713551.0,قصرشيرين - سرپل ذهاب,49804,33869.0,47.04892379462045
320,643146.0,قشم - درگهان,274840,187228.0,46.79428290640289
284,113341.0,آزادراه تهران- شمال (قطعه اول - بعد از تونل 12),293641,200076.0,46.76472940282693
803,453567.0,زاهدان - بم (متناظر توزين),139376,95028.0,46.66835038094035
1238,143136.0,جاده قديم سلفچگان - ساوه (سلفچگان),82568,56504.0,46.12770777290103
1709,215352.0,چادگان - تيران (سه‌راهي سد زاينده‌رود),47959,32848.0,46.0028007793473
345,753278.0,مجموع گيت هاي عوارضي ساوه - همدان (همدان),263818,180714.0,45.986475867946034
772,114301.0,کمربندي دوم تهران (جاده ورامين - شورآباد),145584,100057.0,45.50106439329582
372,113249.0,آزادراه تهران- شمال (قطعه اول - محدوده عوارضي تهران),255161,175773.0,45.165070858436735
245,313194.0,تربت‌حيدريه - مشهد (رباط سفيد - باغچه),323509,223910.0,44.48171140190255
533,264253.0,مياندوآب - ملکان (ملکان),203493,141014.0,44.30694824627342
193,543360.0,حسن رود - بندر انزلي,380088,263602.0,44.19010477917467
2401,413606.0,اقليد - ياسوج(دژکرد),17875,12489.0,43.12595083673633
70,543280.0,آزادراه قزوين - رشت (امامزاده هاشم) (متناظر توزين),591801,415392.0,42.46807834527387
22,153161.0,آزادراه کرج - قزوين (آبيک),838821,590119.0,42.14438104856817
294,643196.0,درگهان - قشم,288749,203158.0,42.130263144941374
1200,184201.0,اشتهارد - بوئين زهرا,86350,61038.0,41.46924866476621
1292,573507.0,ايواغلي - مرند,76485,54121.0,41.32222242752351
