|code|nowruz_02|nowruz_03
1029|953667|['1402-01-08']|['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
1030|953702|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-09']|['1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
1031|953704|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-10', '1402-01-12']|['1403-01-09', '1403-01-10']
1032|953709|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
1033|953752|['1402-01-02', '1402-01-03', '1402-01-04']|['1403-01-03', '1403-01-04']
1034|953754|['1402-01-02', '1402-01-03']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08']
1035|953755|['1401-12-12']|['1402-12-18']
1036|953759|['1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
1037|953801|['1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
1038|953802|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
1039|953851|['1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
1040|953852|['1402-01-02', '1402-01-03', '1402-01-04']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
1041|973103|['1401-12-26']|['1402-12-18']
1042|973153|['1401-12-26']|['1402-12-18']
1043|973351||['1402-12-17', '1402-12-18', '1402-12-19', '1402-12-20']
1044|973501||['1402-12-27', '1403-01-06', '1403-01-13']
1045|973505|['1401-12-12', '1401-12-19', '1401-12-26', '1402-01-01']|['1402-12-18']
1046|973551|['1401-12-26', '1401-12-27', '1401-12-28']|
1047|973552|['1401-12-26']|['1402-12-18']
1048|973555|['1401-12-12', '1401-12-19', '1401-12-26', '1402-01-01']|['1402-12-18']
1049|973901.0|['1401-12-28', '1401-12-29', '1402-01-04', '1402-01-05']|
1050|973953|['1401-12-26', '1401-12-28']|
