code,name,avg_speed_1to3,avg_spped_total,diff_speed
153122,آزادراه قزوين - زنجان (کنارگذر قزوين),89,92,3
714157,سومار - گيلانغرب,66,69,3
733251,سردشت - بانه (بانه),66,69,3
143183,آزادراه تهران - قم (علي‌آباد),96,99,3
713756,خسروي - قصرشيرين,68,71,3
143157,آزادراه تهران - قم (نعلبندان),85,88,3
753234,همدان - تويسرکان (گنجنامه),43,46,3
953652,جم - بندر سيراف,68,71,3
853351,باباميدان - گچساران (بوستان),59,62,3
643652,زيارتعلي - سه راهي فارياب,62,65,3
673108,زنجان - فرودگاه (پل سارمساقلو),80,83,3
853403,پاتاوه - دهدشت,71,74,3
713351,پايانه مرزي گمرک نوسود - نوسود,32,35,3
853107,ياسوج - سي سخت,79,82,3
263804,جلفا - پلدشت (جلفا),59,62,3
263107,جاده قديم بستان‌آباد - تبريز,77,80,3
643306,بندرمقام - سه راهي چهوو,36,39,3
833221,ايلام - صالح آباد (مهدي آباد),76,79,3
333275.0,سه قلعه (سرايان) - بيرجند,75,78,3
953604,جم - فيروزآباد (جم),68,71,3
333280,قاين - بيرجند (بيرجند) (متناظر توزين),97,100,3
543902,اسالم - خلخال (اسالم),46,49,3
543751,کلان کلايه - املش,49,52,3
164621,عباس آباد - کلاردشت,43,46,3
333454,خواف - قائن (فرخي),88,91,3
543553,آزادراه قزوين - رشت (مرز استان - لوشان),92,95,3
164452,نوشهر - نور (سي سنگان - نور),67,70,3
113604,آزادراه تهران - قم (بين فرودگاه و حسن آباد),96,99,3
363154,ملاثاني - اهواز,80,83,3
543102,لنگرود - رودسر,69,72,3
363752,ديلم - بهبهان (ورودي خوزستان),61,64,3
413107.0,محور قديم جم - فيروزآباد (فيروزآباد),63,66,3
544155,خلخال - پونل,39,42,3
414901.0,نورآباد - گچساران (باباميدان - گچساران),79,82,3
413220,سروستان-خاوران,38,41,3
833101,چوار - ایوان,82,85,3
414754,بندرعباس - لامرد,71,74,3
953177,دلوار - بوشهر,90,93,3
833105,مهران - مرز مهران,76,79,3
833162,ملکشاهي - ايلام,69,72,3
414658,اوز-خنج,88,91,3
163208,رودهن - آمل (پلور - گزنک),47,50,3
163221,رودهن -آمل ( امامزاده هاشم- پلور),53,56,3
414361.0,بوشکان - فراشبند,82,85,3
643146,قشم - درگهان,90,93,3
153140,قزوين - بهرام آباد,54,57,3
114351,کمربندي دوم تهران (شورآباد - جاده ورامين),79,82,3
953611,عسلويه - سيراف,84,87,3
773353,مبارکه - بروجن (بروجن),87,90,3
315723,جاده قديم نيشابور - سبزوار (نيشابور - فيروزه),68,71,3
833703.0,مهران - ملکشاهي (سه راهي بانرحمان),73,76,3
573903,مهاباد - سردشت (مهاباد),46,49,3
773106,شهرکرد - اصفهان (تونل رخ),92,95,3
773508.0,قرح - پاتاوه,66,69,3
164671,کلاردشت - عباس آباد,46,49,3
314252,لطف آباد-درگز,65,68,3
833666,پل سيمره - ايلام,37,40,3
213153,مورچه‌خورت - اصفهان (پليس‌راه) (متناظر توزين),89,92,3
913452,گرمي - سه راهي بيله سوار,82,85,3
544651,ديلمان - سياهکل,30,33,3
544502,لاهيجان - لنگرود,53,56,3
333225.0,بيرجند - سه قلعه (سرايان),74,77,3
933118,کمربندي يزد - تفت,67,70,3
953702,گناوه - ديلم,92,95,3
183169,چالوس - کرج (سد کرج),64,66,2
753245,همدان - صالح آباد,81,83,2
183218,آزادراه تهران- کرج (همت-مرز استان),96,98,2
733416,سقز - ديواندره (سقز),68,70,2
164654,چالوس - کرج (مرزن آباد - مکارود),48,50,2
163901.0,رامسر - چابکسر,68,70,2
213401,خوانسار - دامنه (سه راهي دربيد),72,74,2
163851,رامسر - تنکابن,57,59,2
733707,مريوان - پاوه (سه‌راهي پاوه - پاوه),39,41,2
773501,گوشکي - مالخليفه,55,57,2
733462,سقز - مريوان (مريوان),66,68,2
164601,چالوس - کرج (چالوس - دوآب),54,56,2
733901,کامياران - پالنگان,73,75,2
733751,باشماق - مريوان,74,76,2
214252,آزادراه قم - کاشان (مشکات - کاشان),105,107,2
213918,شهرضا - دهاقان(گلشن),85,87,2
164653,آزادراه تهران - شمال (مرزن‌آباد - چالوس),88,90,2
753605,کبودر آهنگ - سه راهي پايگاه نوژه,77,79,2
713156,کنارگذر شرقي کرمانشاه (اسلام آباد - بيستون),99,101,2
733275,مريوان - سنندج (سنندج),90,92,2
513403,خمين - شازند,55,57,2
513701,ازنا - شازند (شازند),82,84,2
