code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
673555,کمربندي خرمدره - ابهر,1402-12-10,1435,5613,5090,5629,5104,61,0.46361746361746364
673555,کمربندي خرمدره - ابهر,1402-12-11,1435,4173,3758,4181,3765,60,-0.5398475398475399
673555,کمربندي خرمدره - ابهر,1402-12-12,1440,5516,4915,5516,4915,60,0.3853083853083853
673555,کمربندي خرمدره - ابهر,1402-12-13,1440,5924,5255,5924,5255,60,0.668052668052668
673555,کمربندي خرمدره - ابهر,1402-12-14,1440,5504,4851,5504,4851,58,0.376992376992377
673555,کمربندي خرمدره - ابهر,1402-12-15,1440,5931,5305,5931,5305,60,0.6729036729036729
673555,کمربندي خرمدره - ابهر,1402-12-16,1440,6052,5407,6052,5407,61,0.7567567567567568
673555,کمربندي خرمدره - ابهر,1402-12-17,1440,6036,5467,6036,5467,59,0.7456687456687456
673555,کمربندي خرمدره - ابهر,1402-12-18,1440,4993,4515,4993,4515,62,0.02286902286902287
673555,کمربندي خرمدره - ابهر,1402-12-19,1435,6217,5539,6218,5539,61,0.8717948717948718
673555,کمربندي خرمدره - ابهر,1402-12-20,1440,5976,5368,5976,5368,57,0.704088704088704
673555,کمربندي خرمدره - ابهر,1402-12-21,1435,6126,5468,6154,5492,60,0.8274428274428275
673555,کمربندي خرمدره - ابهر,1402-12-22,1440,5855,5223,5855,5223,61,0.6202356202356203
673555,کمربندي خرمدره - ابهر,1402-12-23,1440,5635,5023,5635,5023,61,0.4677754677754678
673555,کمربندي خرمدره - ابهر,1402-12-24,1440,6261,5680,6261,5680,62,0.9015939015939016
673555,کمربندي خرمدره - ابهر,1402-12-25,1440,4680,4149,4680,4149,59,-0.19404019404019404
673555,کمربندي خرمدره - ابهر,1402-12-26,1440,5999,5464,5999,5464,60,0.72002772002772
673555,کمربندي خرمدره - ابهر,1402-12-27,1435,6110,5570,6121,5580,61,0.8045738045738046
673555,کمربندي خرمدره - ابهر,1402-12-28,1440,5593,5193,5593,5193,58,0.4386694386694387
673555,کمربندي خرمدره - ابهر,1402-12-29,1430,4293,4106,4327,4138,58,-0.4386694386694387
673555,کمربندي خرمدره - ابهر,1403-01-01,1440,3422,3333,3422,3333,62,-1.065835065835066
673555,کمربندي خرمدره - ابهر,1403-01-02,1440,4179,4048,4179,4048,62,-0.5412335412335413
673555,کمربندي خرمدره - ابهر,1403-01-03,1440,4492,4323,4492,4323,62,-0.32432432432432434
673555,کمربندي خرمدره - ابهر,1403-01-04,1440,4540,4309,4540,4309,62,-0.2910602910602911
673555,کمربندي خرمدره - ابهر,1403-01-05,1440,4970,4598,4970,4598,60,0.00693000693000693
673555,کمربندي خرمدره - ابهر,1403-01-06,1440,5044,4713,5044,4713,59,0.058212058212058215
673555,کمربندي خرمدره - ابهر,1403-01-07,1440,5071,4697,5071,4697,61,0.07692307692307693
673555,کمربندي خرمدره - ابهر,1403-01-08,1440,5027,4651,5027,4651,62,0.04643104643104643
673555,کمربندي خرمدره - ابهر,1403-01-09,1440,5430,5002,5430,5002,63,0.3257103257103257
673555,کمربندي خرمدره - ابهر,1403-01-10,1440,4415,4135,4415,4135,62,-0.3776853776853777
673555,کمربندي خرمدره - ابهر,1403-01-11,1440,5156,4767,5156,4767,62,0.13582813582813583
673555,کمربندي خرمدره - ابهر,1403-01-12,1435,4618,4262,4618,4262,63,-0.23700623700623702
673555,کمربندي خرمدره - ابهر,1403-01-13,1440,4183,4003,4183,4003,62,-0.5384615384615384
673555,کمربندي خرمدره - ابهر,1403-01-14,1440,5713,5220,5713,5220,62,0.5218295218295218
673555,کمربندي خرمدره - ابهر,1403-01-15,1440,5426,4931,5426,4931,61,0.3229383229383229
673555,کمربندي خرمدره - ابهر,1403-01-16,1440,5755,5281,5764,5289,62,0.5571725571725572
673555,کمربندي خرمدره - ابهر,1403-01-17,1435,4362,3987,4383,4006,62,-0.39986139986139985
673555,کمربندي خرمدره - ابهر,1403-01-18,1440,5712,5141,5712,5141,62,0.5211365211365211
673555,کمربندي خرمدره - ابهر,1403-01-19,1440,5523,4923,5523,4923,61,0.39015939015939016
673555,کمربندي خرمدره - ابهر,1403-01-20,1440,5466,4935,5466,4935,62,0.35065835065835066
