code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
713452,پاوه - روانسر (روانسر),1402-12-10,1440,6797,5669,6797,5669,82,-0.8833976833976834
713452,پاوه - روانسر (روانسر),1402-12-11,1440,7232,6209,7232,6209,81,-0.5474903474903475
713452,پاوه - روانسر (روانسر),1402-12-12,1440,8277,7057,8277,7057,81,0.2594594594594595
713452,پاوه - روانسر (روانسر),1402-12-13,1440,7797,6575,7797,6575,82,-0.11119691119691119
713452,پاوه - روانسر (روانسر),1402-12-14,1440,7462,6297,7462,6297,81,-0.3698841698841699
713452,پاوه - روانسر (روانسر),1402-12-15,1440,7447,6217,7447,6217,83,-0.38146718146718145
713452,پاوه - روانسر (روانسر),1402-12-16,1440,8507,7197,8507,7197,82,0.43706563706563706
713452,پاوه - روانسر (روانسر),1402-12-17,1440,8013,6730,8013,6730,82,0.055598455598455596
713452,پاوه - روانسر (روانسر),1402-12-18,1440,8848,7597,8848,7597,81,0.7003861003861004
713452,پاوه - روانسر (روانسر),1402-12-19,1440,8506,7176,8506,7176,82,0.4362934362934363
713452,پاوه - روانسر (روانسر),1402-12-20,1440,8096,6873,8096,6873,82,0.11969111969111969
713452,پاوه - روانسر (روانسر),1402-12-21,1440,7296,6087,7296,6087,83,-0.4980694980694981
713452,پاوه - روانسر (روانسر),1402-12-22,1440,7268,6100,7268,6100,81,-0.5196911196911197
713452,پاوه - روانسر (روانسر),1402-12-23,1440,7984,6678,7984,6678,81,0.033204633204633204
713452,پاوه - روانسر (روانسر),1402-12-24,1440,7361,6275,7361,6275,81,-0.44787644787644787
713452,پاوه - روانسر (روانسر),1402-12-25,1440,7404,6315,7404,6315,82,-0.4146718146718147
713452,پاوه - روانسر (روانسر),1402-12-26,1440,7895,6619,7895,6619,81,-0.03552123552123552
713452,پاوه - روانسر (روانسر),1402-12-27,1440,8104,6818,8104,6818,81,0.12586872586872586
713452,پاوه - روانسر (روانسر),1402-12-28,1435,6679,5479,6680,5479,80,-0.9737451737451738
713452,پاوه - روانسر (روانسر),1402-12-29,1440,5513,4657,5513,4657,80,-1.874903474903475
713452,پاوه - روانسر (روانسر),1403-01-01,1440,5477,4565,5477,4565,82,-1.9027027027027028
713452,پاوه - روانسر (روانسر),1403-01-02,1440,8762,7654,8762,7654,80,0.633976833976834
713452,پاوه - روانسر (روانسر),1403-01-03,1440,9948,8878,9948,8878,78,1.5498069498069498
713452,پاوه - روانسر (روانسر),1403-01-04,1440,10006,8874,10006,8874,78,1.5945945945945945
713452,پاوه - روانسر (روانسر),1403-01-05,1440,9163,8097,9163,8097,77,0.9436293436293436
713452,پاوه - روانسر (روانسر),1403-01-06,1440,7783,6562,7783,6562,83,-0.122007722007722
713452,پاوه - روانسر (روانسر),1403-01-07,1435,9901,8598,9902,8598,82,1.5142857142857142
713452,پاوه - روانسر (روانسر),1403-01-08,1440,9799,8504,9799,8504,80,1.4347490347490348
713452,پاوه - روانسر (روانسر),1403-01-09,1440,10747,9387,10747,9387,81,2.166795366795367
713452,پاوه - روانسر (روانسر),1403-01-10,1440,12243,11162,12243,11162,73,3.322007722007722
713452,پاوه - روانسر (روانسر),1403-01-11,1440,12094,10640,12094,10640,80,3.206949806949807
713452,پاوه - روانسر (روانسر),1403-01-12,1440,11150,9961,11150,9961,79,2.477992277992278
713452,پاوه - روانسر (روانسر),1403-01-13,1440,12298,11040,12298,11040,77,3.3644787644787644
713452,پاوه - روانسر (روانسر),1403-01-14,1440,9338,8035,9338,8035,81,1.0787644787644788
713452,پاوه - روانسر (روانسر),1403-01-15,1440,8608,7362,8608,7362,81,0.5150579150579151
713452,پاوه - روانسر (روانسر),1403-01-16,1440,8516,7373,8516,7373,80,0.444015444015444
713452,پاوه - روانسر (روانسر),1403-01-17,1440,10399,9229,10399,9229,79,1.898069498069498
713452,پاوه - روانسر (روانسر),1403-01-18,1440,7624,6519,7624,6519,80,-0.24478764478764478
713452,پاوه - روانسر (روانسر),1403-01-19,1440,7311,6231,7311,6231,80,-0.4864864864864865
713452,پاوه - روانسر (روانسر),1403-01-20,1440,7421,6310,7421,6310,80,-0.4015444015444015
