code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
213105,اصفهان - علويجه,1402-12-10,880,2825,2408,3770,3213,100,-0.8371040723981901
213105,اصفهان - علويجه,1402-12-11,910,2122,1798,2763,2341,105,-1.9762443438914028
213105,اصفهان - علويجه,1402-12-12,1430,4744,3608,4770,3627,103,0.29411764705882354
213105,اصفهان - علويجه,1402-12-13,1440,4901,3759,4901,3759,103,0.4423076923076923
213105,اصفهان - علويجه,1402-12-14,1440,4470,3392,4470,3392,98,-0.04524886877828054
213105,اصفهان - علويجه,1402-12-15,1235,3355,2541,4305,3260,97,-0.2319004524886878
213105,اصفهان - علويجه,1402-12-16,1440,5102,4008,5102,4008,101,0.669683257918552
213105,اصفهان - علويجه,1402-12-17,1440,6173,5149,6173,5149,103,1.8812217194570136
213105,اصفهان - علويجه,1402-12-18,1440,3659,3130,3659,3130,102,-0.9626696832579186
213105,اصفهان - علويجه,1402-12-19,1440,4956,3819,4956,3819,99,0.504524886877828
213105,اصفهان - علويجه,1402-12-20,1440,4997,3842,4997,3842,99,0.5509049773755657
213105,اصفهان - علويجه,1402-12-21,1440,4767,3645,4767,3645,96,0.2907239819004525
213105,اصفهان - علويجه,1402-12-22,1245,3660,2767,4793,3623,98,0.3201357466063348
213105,اصفهان - علويجه,1402-12-23,1440,5116,3944,5116,3944,101,0.6855203619909502
213105,اصفهان - علويجه,1402-12-24,1440,5248,4420,5248,4420,105,0.834841628959276
213105,اصفهان - علويجه,1402-12-25,1425,1221,1079,1278,1129,107,-3.6561085972850678
213105,اصفهان - علويجه,1402-12-26,1440,1896,1706,1896,1706,109,-2.9570135746606336
213105,اصفهان - علويجه,1402-12-27,1440,1810,1645,1810,1645,114,-3.0542986425339365
213105,اصفهان - علويجه,1402-12-28,1440,2517,2178,2517,2178,108,-2.254524886877828
213105,اصفهان - علويجه,1402-12-29,1440,2032,1827,2032,1827,108,-2.8031674208144794
213105,اصفهان - علويجه,1403-01-01,1440,2120,1915,2120,1915,107,-2.7036199095022626
213105,اصفهان - علويجه,1403-01-02,1440,3167,2925,3167,2925,107,-1.5192307692307692
213105,اصفهان - علويجه,1403-01-03,1440,2584,2353,2584,2353,105,-2.178733031674208
213105,اصفهان - علويجه,1403-01-04,1440,2195,1980,2195,1980,107,-2.6187782805429864
213105,اصفهان - علويجه,1403-01-05,1440,3534,3138,3534,3138,102,-1.1040723981900453
213105,اصفهان - علويجه,1403-01-06,1440,2459,2180,2706,2398,104,-2.0407239819004523
213105,اصفهان - علويجه,1403-01-07,1440,3015,2685,3015,2685,105,-1.6911764705882353
213105,اصفهان - علويجه,1403-01-08,1440,3329,2981,3477,3113,105,-1.168552036199095
213105,اصفهان - علويجه,1403-01-09,1440,3969,3635,3969,3635,106,-0.6119909502262444
213105,اصفهان - علويجه,1403-01-10,1440,2480,2243,2738,2476,106,-2.004524886877828
213105,اصفهان - علويجه,1403-01-11,1435,4796,4297,4869,4362,103,0.4061085972850679
213105,اصفهان - علويجه,1403-01-12,1440,2577,2357,2577,2357,107,-2.186651583710407
213105,اصفهان - علويجه,1403-01-13,1440,2844,2558,2844,2558,104,-1.8846153846153846
213105,اصفهان - علويجه,1403-01-14,1425,2250,1814,2374,1913,106,-2.416289592760181
213105,اصفهان - علويجه,1403-01-15,1440,3087,2546,3087,2546,106,-1.6097285067873304
213105,اصفهان - علويجه,1403-01-16,1440,3470,2955,3498,2978,107,-1.1447963800904977
213105,اصفهان - علويجه,1403-01-17,1440,1921,1569,1978,1615,104,-2.8642533936651584
213105,اصفهان - علويجه,1403-01-18,1435,3124,2501,3306,2646,104,-1.3619909502262444
213105,اصفهان - علويجه,1403-01-19,1440,2687,2182,2687,2182,105,-2.0622171945701355
213105,اصفهان - علويجه,1403-01-20,775,2470,1836,3385,2516,103,-1.2726244343891402
