code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
714157,سومار - گيلانغرب,1402-12-10,1440,1092,1023,1100,1030,72,1.238888888888889
714157,سومار - گيلانغرب,1402-12-11,1005,471,463,1062,1043,72,1.0277777777777777
714157,سومار - گيلانغرب,1402-12-13,1055,832,788,857,811,72,-0.1111111111111111
714157,سومار - گيلانغرب,1402-12-14,1410,521,482,886,819,73,0.05
714157,سومار - گيلانغرب,1402-12-19,1435,639,589,937,863,70,0.3333333333333333
714157,سومار - گيلانغرب,1402-12-20,1440,928,867,928,867,73,0.2833333333333333
714157,سومار - گيلانغرب,1402-12-21,1440,941,881,941,881,72,0.35555555555555557
714157,سومار - گيلانغرب,1402-12-22,1440,911,862,911,862,72,0.18888888888888888
714157,سومار - گيلانغرب,1402-12-23,1440,974,909,974,909,72,0.5388888888888889
714157,سومار - گيلانغرب,1402-12-24,1440,1142,1062,1142,1062,75,1.4722222222222223
714157,سومار - گيلانغرب,1402-12-25,1440,1246,1217,1246,1217,71,2.05
714157,سومار - گيلانغرب,1402-12-26,1440,1011,933,1011,933,71,0.7444444444444445
714157,سومار - گيلانغرب,1402-12-27,1435,1276,1190,1278,1191,75,2.227777777777778
714157,سومار - گيلانغرب,1402-12-28,1440,972,909,972,909,67,0.5277777777777778
714157,سومار - گيلانغرب,1402-12-29,1440,893,821,893,821,65,0.08888888888888889
714157,سومار - گيلانغرب,1403-01-01,1440,1192,1147,1192,1147,66,1.75
714157,سومار - گيلانغرب,1403-01-02,1440,1651,1606,1651,1606,68,4.3
714157,سومار - گيلانغرب,1403-01-03,1435,1628,1582,1632,1585,64,4.194444444444445
714157,سومار - گيلانغرب,1403-01-04,1440,1682,1639,1682,1639,69,4.472222222222222
714157,سومار - گيلانغرب,1403-01-05,1435,1269,1219,1271,1220,65,2.188888888888889
714157,سومار - گيلانغرب,1403-01-06,1440,1186,1115,1196,1124,67,1.7722222222222221
714157,سومار - گيلانغرب,1403-01-07,1440,1676,1634,1676,1634,70,4.438888888888889
714157,سومار - گيلانغرب,1403-01-08,1440,1455,1390,1461,1395,69,3.2444444444444445
714157,سومار - گيلانغرب,1403-01-09,1440,1737,1666,1737,1666,70,4.777777777777778
714157,سومار - گيلانغرب,1403-01-10,1440,1914,1869,1926,1880,68,5.8277777777777775
714157,سومار - گيلانغرب,1403-01-11,1440,1657,1592,1657,1592,69,4.333333333333333
714157,سومار - گيلانغرب,1403-01-12,1440,1692,1595,1692,1595,67,4.527777777777778
714157,سومار - گيلانغرب,1403-01-13,1440,1764,1685,1764,1685,68,4.927777777777778
714157,سومار - گيلانغرب,1403-01-14,1440,1672,1545,1680,1552,71,4.461111111111111
714157,سومار - گيلانغرب,1403-01-15,1440,1201,1130,1208,1136,71,1.8388888888888888
714157,سومار - گيلانغرب,1403-01-16,1440,1157,1079,1158,1079,71,1.5611111111111111
714157,سومار - گيلانغرب,1403-01-17,1440,1166,1099,1166,1099,71,1.6055555555555556
714157,سومار - گيلانغرب,1403-01-18,1440,1012,928,1012,928,71,0.75
714157,سومار - گيلانغرب,1403-01-19,1440,922,848,922,848,70,0.25
714157,سومار - گيلانغرب,1403-01-20,1440,1195,1110,1195,1110,72,1.7666666666666666
