code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
753251,اسد آباد - سه راهي صالح آباد,1402-12-10,1430,7755,6283,7807,6325,84,-0.9981182795698925
753251,اسد آباد - سه راهي صالح آباد,1402-12-11,1440,9703,7833,9703,7833,88,-0.4884408602150538
753251,اسد آباد - سه راهي صالح آباد,1402-12-12,1435,11862,9803,11921,9851,90,0.10779569892473118
753251,اسد آباد - سه راهي صالح آباد,1402-12-13,1440,11618,9339,11618,9339,89,0.026344086021505377
753251,اسد آباد - سه راهي صالح آباد,1402-12-14,1165,8786,6825,10595,8230,83,-0.24865591397849462
753251,اسد آباد - سه راهي صالح آباد,1402-12-15,1440,10317,8011,10317,8011,83,-0.3233870967741935
753251,اسد آباد - سه راهي صالح آباد,1402-12-16,1415,11762,9524,11942,9669,91,0.11344086021505376
753251,اسد آباد - سه راهي صالح آباد,1402-12-17,1430,11330,9486,11377,9525,93,-0.03844086021505377
753251,اسد آباد - سه راهي صالح آباد,1402-12-18,1435,13246,11089,13257,11098,93,0.4669354838709677
753251,اسد آباد - سه راهي صالح آباد,1402-12-19,1435,12016,9899,12071,9944,93,0.14811827956989249
753251,اسد آباد - سه راهي صالح آباد,1402-12-20,1435,11595,9185,11660,9236,92,0.03763440860215054
753251,اسد آباد - سه راهي صالح آباد,1402-12-21,1430,11647,9230,11777,9333,89,0.06908602150537635
753251,اسد آباد - سه راهي صالح آباد,1402-12-22,1440,10943,8645,10943,8645,90,-0.15510752688172044
753251,اسد آباد - سه راهي صالح آباد,1402-12-23,1440,11695,9411,11695,9411,92,0.04704301075268817
753251,اسد آباد - سه راهي صالح آباد,1402-12-24,1435,11873,9757,11944,9815,89,0.11397849462365592
753251,اسد آباد - سه راهي صالح آباد,1402-12-25,1430,12941,10667,13022,10733,93,0.40376344086021504
753251,اسد آباد - سه راهي صالح آباد,1402-12-26,1435,11379,9555,11428,9596,94,-0.024731182795698924
753251,اسد آباد - سه راهي صالح آباد,1402-12-27,1435,11580,9813,11620,9846,95,0.026881720430107527
753251,اسد آباد - سه راهي صالح آباد,1402-12-28,1440,11038,9687,11038,9687,90,-0.1295698924731183
753251,اسد آباد - سه راهي صالح آباد,1402-12-29,1440,8292,7483,8292,7483,90,-0.867741935483871
753251,اسد آباد - سه راهي صالح آباد,1403-01-01,1440,6917,6481,6917,6481,98,-1.2373655913978494
753251,اسد آباد - سه راهي صالح آباد,1403-01-02,1440,8268,7751,8268,7751,98,-0.8741935483870967
753251,اسد آباد - سه راهي صالح آباد,1403-01-03,1440,9987,9421,9987,9421,97,-0.4120967741935484
753251,اسد آباد - سه راهي صالح آباد,1403-01-04,1425,13653,12674,13836,12843,99,0.6225806451612903
753251,اسد آباد - سه راهي صالح آباد,1403-01-05,1440,13773,12576,13773,12576,94,0.6056451612903225
753251,اسد آباد - سه راهي صالح آباد,1403-01-06,1440,8755,8227,9568,8990,93,-0.524731182795699
753251,اسد آباد - سه راهي صالح آباد,1403-01-07,1440,9330,8746,9330,8746,101,-0.5887096774193549
753251,اسد آباد - سه راهي صالح آباد,1403-01-08,1440,7907,7337,7907,7337,102,-0.9712365591397849
753251,اسد آباد - سه راهي صالح آباد,1403-01-09,1440,8884,8028,11114,10043,94,-0.10913978494623656
753251,اسد آباد - سه راهي صالح آباد,1403-01-10,1440,11866,10966,11866,10966,91,0.09301075268817205
753251,اسد آباد - سه راهي صالح آباد,1403-01-11,1440,14499,13433,14499,13433,95,0.8008064516129032
753251,اسد آباد - سه راهي صالح آباد,1403-01-12,1435,16701,15648,16749,15692,94,1.4056451612903227
753251,اسد آباد - سه راهي صالح آباد,1403-01-13,1370,16261,15135,16599,15449,94,1.3653225806451612
753251,اسد آباد - سه راهي صالح آباد,1403-01-14,1440,22884,20234,22884,20234,92,3.054838709677419
753251,اسد آباد - سه راهي صالح آباد,1403-01-15,1440,17181,14956,17181,14956,94,1.521774193548387
753251,اسد آباد - سه راهي صالح آباد,1403-01-16,1175,15467,13779,17517,15605,93,1.6120967741935484
753251,اسد آباد - سه راهي صالح آباد,1403-01-17,1435,19346,17355,19383,17388,92,2.113709677419355
753251,اسد آباد - سه راهي صالح آباد,1403-01-18,1440,12274,10299,12274,10299,93,0.20268817204301076
753251,اسد آباد - سه راهي صالح آباد,1403-01-19,1435,10558,8639,10604,8676,91,-0.24623655913978496
753251,اسد آباد - سه راهي صالح آباد,1403-01-20,1405,9632,7943,9807,8087,92,-0.46048387096774196
