code,name,date,duration,total_count,car_count,total_est,car_est,avg_speed,total_est_normal
933904,يزد - طبس (چادرملو),1402-12-10,1440,3286,1765,3286,1765,69,0.6292517006802721
933904,يزد - طبس (چادرملو),1402-12-11,1435,3300,1779,3305,1781,69,0.6507936507936508
933904,يزد - طبس (چادرملو),1402-12-12,1440,3291,1735,3291,1735,69,0.6349206349206349
933904,يزد - طبس (چادرملو),1402-12-13,1435,3301,1756,3306,1758,69,0.6519274376417233
933904,يزد - طبس (چادرملو),1402-12-14,1440,3310,1779,3310,1779,69,0.6564625850340136
933904,يزد - طبس (چادرملو),1402-12-15,1435,3309,1766,3314,1768,69,0.6609977324263039
933904,يزد - طبس (چادرملو),1402-12-16,1440,3675,1982,3675,1982,69,1.0702947845804989
933904,يزد - طبس (چادرملو),1402-12-17,1435,3807,2070,3813,2073,69,1.2267573696145124
933904,يزد - طبس (چادرملو),1402-12-18,1440,3748,2035,3748,2035,68,1.153061224489796
933904,يزد - طبس (چادرملو),1402-12-19,1435,3762,2048,3768,2051,68,1.1757369614512472
933904,يزد - طبس (چادرملو),1402-12-20,1435,3738,2019,3744,2022,68,1.1485260770975056
933904,يزد - طبس (چادرملو),1402-12-21,1435,3754,2026,3760,2029,68,1.1666666666666667
933904,يزد - طبس (چادرملو),1402-12-22,1440,3749,2038,3749,2038,68,1.1541950113378685
933904,يزد - طبس (چادرملو),1402-12-23,1435,3800,2082,3806,2085,68,1.2188208616780045
933904,يزد - طبس (چادرملو),1402-12-24,1440,3750,2031,3750,2031,68,1.155328798185941
933904,يزد - طبس (چادرملو),1402-12-25,1430,3781,2033,3796,2041,68,1.2074829931972788
933904,يزد - طبس (چادرملو),1402-12-26,1435,3771,2059,3777,2062,68,1.1859410430839001
933904,يزد - طبس (چادرملو),1402-12-27,1440,3739,2028,3739,2028,68,1.1428571428571428
933904,يزد - طبس (چادرملو),1402-12-28,1435,3734,2015,3740,2018,68,1.1439909297052153
933904,يزد - طبس (چادرملو),1402-12-29,1440,3722,1999,3722,1999,68,1.1235827664399094
933904,يزد - طبس (چادرملو),1403-01-01,1435,3730,2026,3736,2029,68,1.1394557823129252
933904,يزد - طبس (چادرملو),1403-01-02,1435,3767,2045,3773,2048,68,1.18140589569161
933904,يزد - طبس (چادرملو),1403-01-03,1440,3777,2057,3777,2057,68,1.1859410430839001
933904,يزد - طبس (چادرملو),1403-01-04,1435,3746,2016,3752,2019,68,1.157596371882086
933904,يزد - طبس (چادرملو),1403-01-05,1440,3766,2027,3766,2027,68,1.1734693877551021
933904,يزد - طبس (چادرملو),1403-01-06,1435,3797,2082,3803,2085,68,1.215419501133787
933904,يزد - طبس (چادرملو),1403-01-07,1440,3752,2023,3752,2023,68,1.157596371882086
933904,يزد - طبس (چادرملو),1403-01-08,1435,3785,2055,3791,2058,68,1.2018140589569162
933904,يزد - طبس (چادرملو),1403-01-09,1440,3772,2042,3772,2042,68,1.1802721088435375
933904,يزد - طبس (چادرملو),1403-01-10,1435,3769,2039,3775,2042,68,1.183673469387755
933904,يزد - طبس (چادرملو),1403-01-11,1440,3769,2061,3769,2061,68,1.1768707482993197
933904,يزد - طبس (چادرملو),1403-01-12,1435,3685,1982,3691,1985,68,1.08843537414966
933904,يزد - طبس (چادرملو),1403-01-13,1440,3771,2032,3771,2032,68,1.1791383219954648
933904,يزد - طبس (چادرملو),1403-01-14,1435,3740,2021,3746,2024,68,1.1507936507936507
933904,يزد - طبس (چادرملو),1403-01-15,1440,3796,2047,3796,2047,68,1.2074829931972788
933904,يزد - طبس (چادرملو),1403-01-16,1435,3771,2060,3777,2063,68,1.1859410430839001
933904,يزد - طبس (چادرملو),1403-01-17,1440,3782,2042,3782,2042,68,1.191609977324263
933904,يزد - طبس (چادرملو),1403-01-18,1435,3776,2061,3781,2063,68,1.1904761904761905
933904,يزد - طبس (چادرملو),1403-01-19,1440,3761,2044,3761,2044,68,1.1678004535147393
933904,يزد - طبس (چادرملو),1403-01-20,1435,3746,2047,3752,2050,68,1.157596371882086
