code,name,est_sum_total_est
163153.0,نکا - ساري (متناظر توزين),1250398
113353,شهريار - آدران,1245615
163301,بابل - بابلسر,1243722
543155,آزادراه قزوين - رشت (رودبار - رستم‌آباد),1240706
143173,کمربندي قم (کاشان - قم),1240116
513264.0,اراک - سلفچگان (احمدآباد),1233798
414806,مرودشت - شيراز (دوراهي لپويي - زرقان),1224860
163402,بابلسر - فريدونکنار,1208635
543505,رودبار - منجيل,1206235
313161,شانديز - مشهد,1205536
113453,دماوند - رودهن,1205112
313111,مشهد - شانديز,1202885
113352,آزادراه تهران، قم - اسلامشهر,1202666
114103,رباط کريم - شهريار,1202376
313105,آزادراه مشهد - باغچه (مشهد),1199257
543454,آستانه - کوچصفهان,1198378
973152,کردکوي - گرگان,1197972
113478.0,جاده مخصوص کرج - تهران (وردآورد),1194682
313155,آزادراه باغچه - مشهد (مشهد),1193881
414856,شيراز - مرودشت (زرقان - دوراهي لپويي),1186084
113403,رودهن - دماوند,1185748
513214.0,سلفچگان - اراک (احمدآباد),1179030
543151,تقاطع سراوان - امامزاده هاشم,1174673
413102,شيراز - سپيدان (شيراز - سه‌راهي قلات),1168586
543154,فومن - رشت,1168104
543104,رشت - فومن,1168014
953101,بوشهر - چغادک (چغادک),1166081
143124,کمربندي قم (قم - اراک),1162817
513605,آزادراه تهران - ساوه (سرزمين ايرانيان),1154535
113419,دماوند - فيروزکوه (دماوند - آبسرد),1146304
643105,بندرعباس - بندررجائي (تقاطع غير همسطح),1144442
543152,رودسر - لنگرود,1142726
163452,فريدونکنار - بابلسر,1132340
163154,ساري - خزرآباد,1126843
543102,لنگرود - رودسر,1123304
973358,علي آباد - گرگان,1122917
543404,کوچصفهان - آستانه,1122251
643155.0,بندررجائي - بندرعباس (تقاطع غير همسطح),1117908
713151,بيستون - کرمانشاه,1109105
163751,نور - محمودآباد,1105335
164751,بهشهر - نکا,1103457
113302,اسلامشهر - آزادراه تهران، قم,1102337
413152,سپيدان - شيراز (سه‌راهي قلات - سپيدان),1096946
153157,آزادراه رشت - قزوين (مرز استان - کوهين),1096176
113469,فيروزکوه - دماوند (آبسرد - دماوند),1091275
414251,کمربندي اکبرآباد شيراز (شمال - جنوب),1087316
113603,آزادراه تهران، قم - فرودگاه امام خميني,1085095
543553,آزادراه قزوين - رشت (مرز استان - لوشان),1077741
153107,آزادراه قزوين - رشت (کوهين - مرز استان),1071375
313902,مشهد - چناران (گلبهار - چناران),1066048
163810,چالوس - کلارآباد,1061874
163860,کلارآباد - چالوس,1061526
543503,آزادراه رشت - قزوين (لوشان - مرز استان),1058846
953151,چغادک - بوشهر (چغادک),1050204
513655,آزادراه ساوه - تهران (سرزمين ايرانيان),1047642
163802.0,عباس آباد - تنکابن,1029490
163801,تنکابن - رامسر,1027195
753151,همدان - کوريجان,1026510
163852.0,تنکابن - عباس آباد,1018999
153156,آزادراه رشت - قزوين (کوهين - محمودآباد),1018144
313196,آزادراه باغچه - مشهد (باغچه),1011877
164451,نوشهر - نور (نوشهر - سي سنگان),1010232
363803,خرمشهر - آبادان,1004470
363853,آبادان - خرمشهر,1002326
163103,ساري - نکا,998721
313952,چناران - مشهد (چناران - گلبهار),990701
113653,فرودگاه امام خميني - آزادراه قم، تهران,989969
215253,شهرضا - اصفهان (سه‌راهي مبارکه),987313
143158,آزادراه کاشان - قم (مشکات - تقاطع جاده قديم),983563
713101,کرمانشاه - بيستون,979163
513153,بروجرد - اراک,973825
164602.0,کلارآباد - عباس آباد,972062
313223,نيشابور - مشهد (نيشابور) (متناظر توزين),970139
753152,همدان - سه‌راهي صالح‌آباد,965077
414201,کمربندي اکبرآباد شيراز (جنوب - شمال),955096
153135,آزادراه کنارگذر زنجان - قزوين (بعد از عوارضي 3),952514
214751,تيران - نجف‌آباد,942342
313146,آزادراه مشهد - باغچه (باغچه),941291
263101,تبريز - صوفيان,937425
164652,عباس آباد - کلارآباد,936288
543310,بندرانزلي - حسن رود,931061
214701,نجف‌آباد - تيران,930655
164452,نوشهر - نور (سي سنگان - نور),928773
153162,آزادراه زنجان - قزوين (اقباليه) (متناظر توزين),928088
513653,آزادراه ساوه - تهران (مامونيه),926130
163951,چابکسر - رامسر,920100
143108,آزادراه قم - کاشان (تقاطع جاده قديم - مشکات),913331
153185,آزادراه قزوين - زنجان (قبل از عوارضي3),910472
413106.0,شيراز - کوار (شيراز - سه‌راهي کوار),907593
543105,آزادراه رشت - قزوين (رستم‌آباد - رودبار),904300
184206,كرج - ماهدشت,904053
543652,کلاچاي - رودسر,901084
543602,رودسر - کلاچاي,900490
164402,نور - نوشهر (نور - سي سنگان),899529
164701,نکا - بهشهر,899147
164401,نور - نوشهر (سی سنگان - نوشهر),898226
153221.0,بوئين زهرا - اشتهارد,897437
153136,آزادراه قزوين - آبيک (عوارضي 1 قزوين),893522
543904,اسالم - تالش,893210
543360,حسن رود - بندر انزلي,890786
153186,آزادراه آبيک - قزوين (عوارضي 1 قزوين),888831
773206,شهرکرد - فرخشهر,888660
214202,آزادراه کاشان - قم (کاشان - مشکات),885150
153106,آزادراه قزوين - رشت (محمودآباد - کوهين),885110
143105,قم - سلفچگان (قم),882971
753102,سه‌راهي صالح‌آباد - همدان,880877
973351,آزادشهر - علي آباد,874756
413154.0,کازرون - شيراز (خان زنيان - شيراز),873903
813102,خرم‌آباد - سه‌راهي چالان چولان (بروجرد),873659
114153,شهريار - رباط کريم,873088
143118,قم - سلفچگان,862634
413104.0,شيراز - کازرون (شيراز - خان زنيان),859015
673501,آزادراه زنجان - قزوين (ابهر - مرز استان),858260
773256,فرخشهر - شهرکرد,856969
153164,آزادراه کرج - قزوين (3کيلومتر بعد از عوارضي1 قزوين),855697
313273,مشهد - نيشابور (نيشابور) (متناظر توزين),853838
543954,تالش - اسالم,853591
163105,ساري - جويبار,853281
263151,صوفيان - تبريز,851323
183164,جاده قديم قزوين - کرج (کمالشهر),849125
213255,کمربندي شرق اصفهان (جاده نائين - سپاهان شهر),847826
153105,آزادراه قزوين - رشت (قزوين - محمودآباد),847068
163901.0,رامسر - چابکسر,845189
153104,آزادراه قزوين - زنجان (تاکستان - مرز استان),844890
573102,اروميه - سلماس (اروميه),844593
153163,آزادراه زنجان - قزوين (تاکستان),843764
363603,ماهشهر - بندرامام,841914
753558,کوريجان - همدان (متناظر توزين),841787
113213,تهران - لواسانات (طلائيه),840965
673551,آزادراه قزوين - زنجان (مرز استان - ابهر),839815
143155,سلفچگان - قم (قم),837604
143202,عوارضي قم - کاشان,836595
543269,تقاطع سراوان - رشت,832097
