|code|nowruz_02|nowruz_03
467|363280.0|['1401-12-26', '1402-01-04', '1402-01-13', '1402-01-14']|
468|363304|['1402-01-05', '1402-01-10']|['1403-01-09', '1403-01-10']
469|363313|['1402-01-16']|['1403-01-10', '1403-01-11', '1403-01-12']
470|363314|['1401-12-21', '1401-12-23', '1401-12-24', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-10', '1402-01-11']|['1403-01-03', '1403-01-04']
471|363354|['1401-12-26', '1401-12-28', '1401-12-29']|['1403-01-07']
472|363363||['1403-01-07', '1403-01-08', '1403-01-10']
473|363364|['1401-12-24', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11']|
474|363402|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13', '1402-01-14']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13', '1403-01-14', '1403-01-15']
475|363452|['1401-12-26', '1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-09', '1402-01-10']|['1402-12-28', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-13']
476|363501||['1402-12-28', '1403-01-06']
477|363551||['1403-01-06', '1403-01-13']
478|363604||['1402-12-23']
479|363606|['1402-01-01', '1402-01-02', '1402-01-03']|['1403-01-02']
480|363607|['1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|
481|363627|['1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
482|363654||['1402-12-20']
483|363656|['1402-01-13']|
484|363657|['1402-01-04']|['1403-01-12']
485|363677|['1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06', '1402-01-08', '1402-01-09', '1402-01-11']|['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
486|363678||['1403-01-08', '1403-01-10']
487|363703||['1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-11']
488|363751|['1401-12-18', '1402-01-05']|
489|363753|['1401-12-28', '1402-01-09', '1402-01-10']|['1402-12-28', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-11']
490|363803|['1402-01-02']|
491|364102|['1401-12-25']|['1402-12-10']
492|364152|['1401-12-11', '1401-12-25']|
493|364201|['1401-12-29', '1402-01-01', '1402-01-02', '1402-01-04', '1402-01-10']|
494|364203|['1401-12-28']|
495|364251|['1402-01-02']|
496|364301|['1401-12-27', '1401-12-28']|
497|364353||['1403-01-03', '1403-01-04', '1403-01-05', '1403-01-09', '1403-01-10', '1403-01-12', '1403-01-13', '1403-01-17']
498|364401|['1402-01-09', '1402-01-10', '1402-01-12']|['1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
499|364402|['1401-12-25']|['1402-12-28', '1403-01-08', '1403-01-09']
500|364403|['1402-01-04', '1402-01-13', '1402-01-14']|['1403-01-04', '1403-01-13', '1403-01-14']
501|364404|['1402-01-10']|['1403-01-10', '1403-01-13']
502|364406|['1401-12-26']|['1402-12-18']
503|364451|['1402-01-04', '1402-01-13', '1402-01-14']|['1403-01-04', '1403-01-10', '1403-01-13', '1403-01-14']
504|364452|['1402-01-04', '1402-01-05']|['1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10']
505|364453|['1402-01-10']|['1403-01-08', '1403-01-09']
506|364454|['1402-01-04', '1402-01-13']|['1402-12-24', '1403-01-01', '1403-01-04']
507|364456|['1401-12-25']|
508|364501|['1402-01-05', '1402-01-10']|['1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11']
509|364502|['1402-01-13']|['1403-01-04', '1403-01-07', '1403-01-09', '1403-01-10', '1403-01-13']
